audio offset,blinking state,eye state
5943,open,angry
6051,half_closed,angry
6070,closed,angry
6363,half_closed,angry
11079,open,angry
11186,half_closed,angry
11206,closed,angry
11529,half_closed,angry
11629,open,angry
11736,half_closed,angry
11756,closed,angry
12045,half_closed,angry
16432,open,angry
16542,half_closed,angry
16561,closed,angry
16863,half_closed,angry
21654,open,angry
21764,half_closed,angry
21784,closed,angry
22099,half_closed,angry
22199,open,angry
22302,half_closed,angry
22324,closed,angry
22651,half_closed,angry
28309,open,angry
28424,half_closed,angry
28444,closed,angry
28714,half_closed,angry
33881,open,angry
33988,half_closed,angry
34008,open,angry
